time,actual_price_usd,predicted_price_usd
2021-03-25 00:00:00+00:00,54817.8571122151,28577.146364160162
2021-03-26 00:00:00+00:00,56019.8373055523,28594.46382394508
2021-03-27 00:00:00+00:00,55713.0381396844,28355.029328708384
2021-03-28 00:00:00+00:00,57571.2333477498,28582.48809619289
2021-03-29 00:00:00+00:00,58684.5483921683,28004.962580446532
2021-03-30 00:00:00+00:00,58792.1948275862,28612.26959738752
2021-03-31 00:00:00+00:00,58818.9770985973,28594.46382394508
2021-04-01 00:00:00+00:00,59031.5340192285,28594.46382394508
2021-04-02 00:00:00+00:00,57282.3896247808,28612.26959738752
2021-04-03 00:00:00+00:00,58202.199391993,28612.26959738752
2021-04-04 00:00:00+00:00,58755.8525295149,28085.94529172181
2021-04-05 00:00:00+00:00,58084.0664231444,28015.69532157102
