asset,time,AdrActCnt,HashRate,PriceUSD,SplyCur,TxTfrCnt
btc,2015-06-27T00:00:00.000000000Z,290296,318658.628227153,251.529326709527,14320889.76733058,336040
btc,2015-06-28T00:00:00.000000000Z,275010,346814.543816443,249.058285797779,14324414.76733054,310195
btc,2015-06-29T00:00:00.000000000Z,290419,343810.247546963,256.65022238457,14327914.76733051,306158
btc,2015-06-30T00:00:00.000000000Z,312364,356089.184959355,263.854356864991,14331539.76733049,715499
btc,2015-07-01T00:00:00.000000000Z,308546,331531.310134572,258.042647574518,14334914.76733042,330682
btc,2015-07-02T00:00:00.000000000Z,317013,378191.27230166,254.747113383986,14338764.76691191,335522
btc,2015-07-03T00:00:00.000000000Z,300150,395381.784679008,256.087042833431,14342789.7668119,323718
btc,2015-07-04T00:00:00.000000000Z,271740,373279.697336703,260.50923962595,14346589.76681171,303603
btc,2015-07-05T00:00:00.000000000Z,307522,348721.82251192,271.302458211572,14350139.76680168,338861
btc,2015-07-06T00:00:00.000000000Z,352954,444497.534328574,269.137940093513,14354664.76680159,735802
btc,2015-07-07T00:00:00.000000000Z,321011,329075.522652093,266.469919053185,14358014.76680146,857440
btc,2015-07-08T00:00:00.000000000Z,317005,395381.784679008,270.576142898889,14362039.76680146,1462866
btc,2015-07-09T00:00:00.000000000Z,333362,326619.735169615,269.680304792519,14365364.76680142,779253
btc,2015-07-10T00:00:00.000000000Z,319210,378191.27230166,285.558780829924,14369214.76675142,845719
btc,2015-07-11T00:00:00.000000000Z,321077,365703.823777367,293.917453828171,14372914.76669132,1415332
btc,2015-07-12T00:00:00.000000000Z,313443,342767.691987456,311.481879894798,14376289.76669132,1125199
btc,2015-07-13T00:00:00.000000000Z,299508,375774.951215878,292.649223845704,14379989.76669129,717279
btc,2015-07-14T00:00:00.000000000Z,288951,365618.871453287,287.740951490357,14383589.76669119,295257
btc,2015-07-15T00:00:00.000000000Z,268772,388470.050919117,285.922885447107,14387414.76669114,281304
btc,2015-07-16T00:00:00.000000000Z,278082,340228.672046808,278.532749269433,14390764.76669114,277693
btc,2015-07-17T00:00:00.000000000Z,248227,373235.93127523,280.064724722385,14394439.76669114,266211
btc,2015-07-18T00:00:00.000000000Z,251678,378313.971156526,277.354635300994,14398164.76669114,317439
btc,2015-07-19T00:00:00.000000000Z,296139,385931.03097847,275.281989479836,14401964.76669091,357673
btc,2015-07-20T00:00:00.000000000Z,283750,396087.110741061,279.114393045003,14405864.76669081,301099
btc,2015-07-21T00:00:00.000000000Z,313410,322455.532462274,276.652412624196,14409039.76669037,327606
btc,2015-07-22T00:00:00.000000000Z,287455,391009.070859765,277.764369082408,14412889.76669009,296380
btc,2015-07-23T00:00:00.000000000Z,264413,355462.791690696,276.811628579778,14416389.76669006,262646
btc,2015-07-24T00:00:00.000000000Z,264644,429094.369969483,289.305976329632,14420614.76667983,258441
btc,2015-07-25T00:00:00.000000000Z,243324,395370.72515724,289.507639976622,14424464.76667982,252849
btc,2015-07-26T00:00:00.000000000Z,299700,374222.682670225,293.314842781999,14428064.76667962,464328
btc,2015-07-27T00:00:00.000000000Z,283647,387216.525818497,294.426761835184,14431789.76667941,461501
btc,2015-07-28T00:00:00.000000000Z,303847,353432.53363299,295.410125268849,14435189.76667941,460935
btc,2015-07-29T00:00:00.000000000Z,312401,395012.83170746,289.85583635301,14438989.76665941,1542149
btc,2015-07-30T00:00:00.000000000Z,278623,348234.996373682,288.236260666277,14442339.76648561,1136074
btc,2015-07-31T00:00:00.000000000Z,299579,392414.063077805,284.597324371712,14446114.76648561,1576629
btc,2015-08-01T00:00:00.000000000Z,300587,402809.137596423,281.66884628872,14449989.76648561,1674465
btc,2015-08-02T00:00:00.000000000Z,292502,392414.063077805,282.423006428989,14453764.7663218,443480
btc,2015-08-03T00:00:00.000000000Z,300542,408006.674855731,282.185052308591,14457689.7663218,451476
btc,2015-08-04T00:00:00.000000000Z,293826,353432.53363299,285.286617475161,14461089.76631634,1251573
btc,2015-08-05T00:00:00.000000000Z,313235,345636.227744027,282.338886908241,14464414.76614708,1316635
btc,2015-08-06T00:00:00.000000000Z,295447,371623.914040571,278.99574868498,14467989.76614708,1479127
btc,2015-08-07T00:00:00.000000000Z,283150,356031.302262645,279.488715078901,14471414.76614708,497302
btc,2015-08-08T00:00:00.000000000Z,266587,420413.404985863,261.450275569842,14475439.76614708,284532
btc,2015-08-09T00:00:00.000000000Z,262571,372000.719336283,266.342020455874,14478989.76598323,276720
btc,2015-08-10T00:00:00.000000000Z,292834,437493.803726473,264.928825248393,14483164.76598323,304538
btc,2015-08-11T00:00:00.000000000Z,271613,424395.186848435,271.421736119229,14487214.76581943,280398
btc,2015-08-12T00:00:00.000000000Z,278802,330085.145326561,268.143868497954,14490364.76581943,293592
btc,2015-08-13T00:00:00.000000000Z,272849,385099.336214321,264.691627995324,14494039.76581943,280693
btc,2015-08-14T00:00:00.000000000Z,268926,372000.719336283,266.355941554646,14497589.76581943,273676
btc,2015-08-15T00:00:00.000000000Z,272413,358902.102458245,261.936836645237,14501014.76581942,284781
btc,2015-08-16T00:00:00.000000000Z,275996,361521.825833852,258.930817389831,14504464.76532802,288692
btc,2015-08-17T00:00:00.000000000Z,293079,385099.336214321,258.009398305085,14508139.76532802,303433
btc,2015-08-18T00:00:00.000000000Z,293760,369380.995960675,217.885883116937,14511664.76532802,290457
btc,2015-08-19T00:00:00.000000000Z,280796,408676.846594789,227.218251899474,14515564.76532802,283362
btc,2015-08-20T00:00:00.000000000Z,278919,392958.506341144,235.523883109293,14519314.76450902,284476
btc,2015-08-21T00:00:00.000000000Z,281703,432254.356975258,232.80061783986,14523439.76352622,290494
btc,2015-08-22T00:00:00.000000000Z,295137,426143.652201538,230.639173290473,14527389.76352619,318535
btc,2015-08-23T00:00:00.000000000Z,284990,361412.970854469,228.673073933372,14530739.76352619,297328
btc,2015-08-24T00:00:00.000000000Z,309470,418052.317033154,211.955917592051,14534614.76352619,317341
btc,2015-08-25T00:00:00.000000000Z,288148,364110.082577264,222.655039450614,14537989.76319859,303882
btc,2015-08-26T00:00:00.000000000Z,288944,434234.987369922,226.116700175336,14542014.76314126,297770
btc,2015-08-27T00:00:00.000000000Z,270033,369504.306022853,224.939877264757,14545439.76297625,282829
btc,2015-08-28T00:00:00.000000000Z,296413,418052.317033154,232.17080829924,14549314.76277625,305244
btc,2015-08-29T00:00:00.000000000Z,290341,431537.875647127,229.826200175336,14553314.76277625,315133
btc,2015-08-30T00:00:00.000000000Z,280853,404566.758419182,229.019572472238,14557064.76277625,307598
btc,2015-08-31T00:00:00.000000000Z,308087,423446.540478743,230.689466101695,14560989.75252711,326471
btc,2015-09-01T00:00:00.000000000Z,308331,415355.20531036,227.955570426651,14564839.75232711,320650
btc,2015-09-02T00:00:00.000000000Z,292511,431537.875647127,229.502180709527,14568839.74262711,2041653
btc,2015-09-03T00:00:00.000000000Z,297285,393778.311528004,227.107121566335,14572489.74108889,378330
btc,2015-09-04T00:00:00.000000000Z,260465,434444.799372061,231.177563413209,14576389.72948887,268976
btc,2015-09-05T00:00:00.000000000Z,323127,416212.869138725,235.903006136762,14580064.72948887,365915
btc,2015-09-06T00:00:00.000000000Z,290712,407718.72895222,240.805472238457,14583664.72917249,314102
btc,2015-09-07T00:00:00.000000000Z,318515,430369.769449566,240.6336157218,14587464.72855611,331445
btc,2015-09-08T00:00:00.000000000Z,338676,385067.688454875,244.174952659264,14590864.72755611,333928
btc,2015-09-09T00:00:00.000000000Z,298432,421875.629263061,238.722463179427,14594589.39563973,300914
btc,2015-09-10T00:00:00.000000000Z,283028,484165.990630761,238.750477206312,14598863.98623973,288282
btc,2015-09-11T00:00:00.000000000Z,317585,447358.049822575,240.845008116891,14602812.28733973,395429
btc,2015-09-12T00:00:00.000000000Z,276575,382236.308392706,236.351832176505,14606186.28543973,316837
