date,portfolio_value,actions
2021-06-22,9854.828544273641,BUY 0.00 USD
2021-06-23,9913.68713251535,BUY 0.00 USD
2021-06-24,9959.388303392274,BUY 0.00 USD
2021-06-25,9625.001744538811,BUY 0.00 USD
2021-06-26,9841.187221944409,BUY 0.00 USD
2021-06-27,9477.287041111036,BUY 0.00 USD
2021-06-28,9850.457379707446,BUY 0.00 USD
2021-06-29,9811.093128242626,BUY 0.00 USD
2021-06-30,9830.348641323277,BUY 0.00 USD
2021-07-01,9464.318079341103,BUY 0.00 USD
2021-07-02,9483.090928126145,BUY 0.00 USD
2021-07-03,9778.170642973724,BUY 0.00 USD
2021-07-04,9914.946379300696,BUY 0.00 USD
2021-07-05,10013.543964578495,BUY 0.00 USD
2021-07-06,10025.40171325302,BUY 0.00 USD
2021-07-07,10392.534205933054,BUY 0.00 USD
2021-07-08,10571.865200561511,BUY 0.00 USD
2021-07-09,9409.818972896705,BUY 0.00 USD
2021-07-10,9275.980158908847,BUY 0.00 USD
2021-07-11,9328.356718482097,BUY 0.00 USD
2021-07-12,8990.257777810519,BUY 0.00 USD
2021-07-13,9057.197997404986,BUY 0.00 USD
2021-07-14,9274.501384735682,BUY 0.00 USD
2021-07-15,9035.695112720876,BUY 0.00 USD
2021-07-16,9443.602202954937,BUY 0.00 USD
2021-07-17,9673.467733036125,BUY 0.00 USD
2021-07-18,9599.188147280589,BUY 0.00 USD
2021-07-19,9481.996356061467,BUY 0.00 USD
2021-07-20,9680.86319312003,BUY 0.00 USD
2021-07-21,9482.93621872254,BUY 0.00 USD
2021-07-22,8606.717600636252,BUY 0.00 USD
2021-07-23,8138.9778490256585,BUY 0.00 USD
2021-07-24,8751.73010559185,BUY 0.00 USD
2021-07-25,9009.542069630033,BUY 0.00 USD
2021-07-26,8596.233688313938,BUY 0.00 USD
2021-07-27,8582.568765987555,BUY 0.00 USD
2021-07-28,8662.103560259993,BUY 0.00 USD
2021-07-29,8534.674454314054,BUY 0.00 USD
2021-07-30,8279.016724743617,BUY 0.00 USD
2021-07-31,8325.240150056547,BUY 0.00 USD
2021-08-01,8792.694326647912,BUY 0.00 USD
